species,country_of_origin,number_of_bags,bag_weight,processing_method,aroma,flavor,body,uniformity
Arabica,Ethiopia,300,60.0,Washed,8.67,8.83,8.5,10.0
Arabica,Ethiopia,300,60.0,Washed,8.75,8.67,8.42,10.0
Arabica,Ethiopia,320,60.0,Natural,8.17,8.58,8.5,10.0
Arabica,Ethiopia,300,60.0,Washed,8.25,8.5,8.42,10.0
Arabica,Brazil,100,30.0,Natural,8.58,8.42,8.25,10.0
Arabica,Peru,100,69.0,Washed,8.42,8.5,8.25,10.0
Arabica,Ethiopia,50,60.0,Natural,8.08,8.58,7.67,10.0
Arabica,Ethiopia,300,60.0,Natural,8.17,8.67,7.75,10.0
Arabica,United States,10,1.0,Washed,8.25,8.42,8.08,10.0
Arabica,United States,10,1.0,Washed,8.08,8.67,8.0,10.0
Arabica,United States,10,1.0,Washed,8.0,8.5,8.17,10.0
Arabica,China,3,60.0,Washed,8.42,8.25,7.92,10.0
Arabica,Ethiopia,250,60.0,Natural,8.17,8.17,8.08,10.0
Arabica,United States,10,1.0,Washed,8.0,8.25,8.25,10.0
Arabica,Costa Rica,250,1.360776,Washed,8.08,8.25,8.0,10.0
Arabica,Mexico,14,1.0,Washed,8.17,8.25,7.83,10.0
Arabica,United States,10,1.0,Washed,8.25,8.33,7.83,10.0
Arabica,Ethiopia,100,60.0,Natural,8.42,8.17,8.33,10.0
Arabica,Brazil,3,60.0,Natural,8.5,8.5,8.0,10.0
Arabica,Uganda,100,60.0,Washed,8.42,8.17,7.83,10.0
Arabica,Taiwan,20,50.0,Pulped-Natural,8.0,8.0,8.0,10.0
Arabica,"Tanzania, United Republic Of",100,60.0,Natural,8.42,8.17,7.58,10.0
Arabica,Brazil,29,60.0,Natural,8.5,8.17,8.0,10.0
Arabica,Costa Rica,250,0.907184,Washed,8.17,7.83,7.83,10.0
Arabica,Ethiopia,320,60.0,Natural,8.0,8.08,8.08,10.0
Arabica,Kenya,320,1.0,Washed,8.08,8.0,7.92,10.0
Arabica,United States (Hawaii),10,45.3592,Natural,8.08,8.17,7.92,10.0
Arabica,United States,10,1.0,Washed,7.67,8.17,8.17,10.0
Arabica,Thailand,53,1.0,Washed,7.83,8.33,7.58,10.0
Arabica,Taiwan,10,15.0,Semi-Washed,8.08,8.17,7.75,10.0
Arabica,Kenya,12,60.0,Natural,8.08,8.08,7.83,10.0
Arabica,Brazil,7,60.0,Semi-Washed,8.33,8.0,7.75,10.0
Arabica,Uganda,1,60.0,Semi-Washed,8.08,8.08,8.08,10.0
Arabica,Colombia,1,2.0,Washed,7.75,7.92,8.08,10.0
Arabica,Kenya,1,1.0,Washed,7.92,8.17,7.5,10.0
Arabica,Uganda,1,60.0,Washed,8.25,8.0,8.0,10.0
Arabica,Guatemala,80,69.0,Washed,7.92,8.08,8.08,10.0
Arabica,Uganda,1,60.0,Natural,8.17,8.17,7.83,10.0
Arabica,Colombia,275,70.0,Washed,8.0,8.0,7.83,10.0
Arabica,Panama,37,60.0,Washed,8.0,8.0,7.83,10.0
Arabica,Ethiopia,320,60.0,Washed,7.83,8.08,8.0,10.0
Arabica,Guatemala,150,1.0,Washed,7.83,8.0,7.83,10.0
Arabica,Guatemala,275,1.0,Washed,8.0,8.0,7.83,10.0
Arabica,Ethiopia,320,19200.0,Natural,7.83,8.0,7.92,10.0
Arabica,Peru,280,2.26796,Washed,8.0,8.0,7.92,10.0
Arabica,Papua New Guinea,7,60.0,Washed,8.33,8.42,8.0,9.33
Arabica,El Salvador,275,2.0,Washed,7.92,8.17,7.75,10.0
Arabica,El Salvador,19,1.0,Semi-Washed,7.83,8.0,7.92,10.0
Arabica,United States (Hawaii),8,45.3592,Natural,7.83,8.0,8.08,10.0
Arabica,Panama,100,60.0,Natural,8.0,7.75,7.67,10.0
Arabica,Kenya,16,60.0,Natural,7.92,7.92,7.83,10.0
Arabica,Ethiopia,320,60.0,Natural,7.83,8.0,7.83,10.0
Arabica,Uganda,320,60.0,Washed,8.33,7.92,7.67,10.0
Arabica,Guatemala,250,69.0,Washed,8.0,7.83,7.83,10.0
