country_of_origin,species,processing_method,cupper_points,YumScore
Ethiopia,Arabica,Washed / Wet,8.75,0.9
Ethiopia,Arabica,Washed / Wet,8.58,0.8960000000000001
Guatemala,Arabica,,9.25,0.88125
Ethiopia,Arabica,Natural / Dry,8.67,0.88125
Ethiopia,Arabica,Washed / Wet,8.58,0.8792500000000001
Brazil,Arabica,Natural / Dry,8.33,0.88125
Peru,Arabica,Washed / Wet,8.5,0.8792500000000001
Ethiopia,Arabica,,9.0,0.8727499999999999
Ethiopia,Arabica,,8.67,0.875
Ethiopia,Arabica,Natural / Dry,8.5,0.85825
Ethiopia,Arabica,Natural / Dry,8.58,0.8647500000000001
United States,Arabica,Washed / Wet,8.5,0.86875
United States,Arabica,Washed / Wet,8.33,0.86875
United States (Hawaii),Arabica,,8.58,0.875
Ethiopia,Arabica,,8.5,0.8622500000000001
United States,Arabica,Washed / Wet,8.17,0.86675
Indonesia,Arabica,,8.33,0.877
Ethiopia,Arabica,,8.83,0.85625
China,Arabica,Washed / Wet,8.42,0.8647500000000001
Ethiopia,Arabica,Natural / Dry,8.33,0.8605
United States,Arabica,Washed / Wet,8.17,0.8625
Costa Rica,Arabica,Washed / Wet,8.33,0.85825
Mexico,Arabica,Washed / Wet,8.58,0.85625
United States,Arabica,Washed / Wet,8.17,0.86025
Ethiopia,Arabica,Natural / Dry,8.08,0.873
Brazil,Arabica,Natural / Dry,7.92,0.875
Ethiopia,Arabica,,8.25,0.85625
Uganda,Arabica,Washed / Wet,8.17,0.8605
Honduras,Arabica,,8.25,0.85825
Taiwan,Arabica,Pulped natural / honey,8.17,0.85
Nicaragua,Arabica,,8.0,0.8542500000000001
"Tanzania, United Republic Of",Arabica,Natural / Dry,8.17,0.8542500000000001
Brazil,Arabica,Natural / Dry,8.0,0.86675
Costa Rica,Arabica,Washed / Wet,8.42,0.84575
Ethiopia,Arabica,Natural / Dry,8.08,0.8539999999999999
Kenya,Arabica,Washed / Wet,8.08,0.85
United States (Hawaii),Arabica,Natural / Dry,8.33,0.8542500000000001
United States (Hawaii),Arabica,,8.25,0.8585
Ethiopia,Arabica,,8.17,0.84375
United States,Arabica,Washed / Wet,8.08,0.85025
Thailand,Arabica,Washed / Wet,8.42,0.8435
Brazil,Arabica,,8.08,0.8605
Brazil,Arabica,,8.17,0.8564999999999999
Taiwan,Arabica,Semi-washed / Semi-pulped,8.42,0.85
Kenya,Arabica,Natural / Dry,8.0,0.84975
Brazil,Arabica,Semi-washed / Semi-pulped,8.0,0.852
Uganda,Arabica,Semi-washed / Semi-pulped,8.08,0.8560000000000001
Colombia,Arabica,Washed / Wet,8.17,0.84375
Kenya,Arabica,Washed / Wet,8.17,0.8397500000000001
Uganda,Arabica,Washed / Wet,7.92,0.85625
Ethiopia,Arabica,,7.92,0.84575
United States (Hawaii),Arabica,,8.17,0.85625
Guatemala,Arabica,Washed / Wet,8.0,0.852
Uganda,Arabica,Natural / Dry,8.0,0.8542500000000001
Colombia,Arabica,Washed / Wet,7.92,0.84575
Panama,Arabica,Washed / Wet,8.0,0.84575
Ethiopia,Arabica,Washed / Wet,8.0,0.8477499999999999
Guatemala,Arabica,Washed / Wet,8.0,0.8414999999999999
Guatemala,Arabica,Washed / Wet,8.0,0.84575
Ethiopia,Arabica,Natural / Dry,8.0,0.84375
Peru,Arabica,Washed / Wet,8.0,0.8480000000000001
Papua New Guinea,Arabica,Washed / Wet,7.92,0.852
El Salvador,Arabica,Washed / Wet,8.0,0.8460000000000001
El Salvador,Arabica,Semi-washed / Semi-pulped,7.92,0.84375
United States (Hawaii),Arabica,Natural / Dry,8.0,0.8477499999999999
Panama,Arabica,Natural / Dry,7.83,0.8355
Kenya,Arabica,Natural / Dry,8.0,0.84175
Ethiopia,Arabica,Natural / Dry,8.0,0.8414999999999999
Uganda,Arabica,Washed / Wet,8.08,0.8480000000000001
Guatemala,Arabica,Washed / Wet,7.83,0.8414999999999999
Ethiopia,Arabica,Washed / Wet,8.08,0.8375
Uganda,Arabica,Washed / Wet,8.0,0.852
United States (Hawaii),Arabica,Natural / Dry,8.25,0.8397500000000001
Brazil,Arabica,Semi-washed / Semi-pulped,8.0,0.84375
El Salvador,Arabica,,7.92,0.8435
China,Arabica,Natural / Dry,7.92,0.84575
Guatemala,Arabica,Natural / Dry,7.83,0.8352499999999999
Costa Rica,Arabica,Washed / Wet,8.0,0.85
Costa Rica,Arabica,Washed / Wet,7.92,0.8414999999999999
Kenya,Arabica,Washed / Wet,7.92,0.84575
Kenya,Arabica,Washed / Wet,7.83,0.84375
Ethiopia,Arabica,,8.08,0.8352499999999999
Ethiopia,Arabica,,8.0,0.8375
Guatemala,Arabica,,7.83,0.8460000000000001
Colombia,Arabica,Washed / Wet,7.92,0.84175
Colombia,Arabica,Natural / Dry,7.92,0.8414999999999999
Indonesia,Arabica,Semi-washed / Semi-pulped,8.0,0.8414999999999999
Guatemala,Arabica,Washed / Wet,7.92,0.85
Ethiopia,Arabica,Natural / Dry,7.83,0.84375
Colombia,Arabica,Natural / Dry,7.67,0.85
Ethiopia,Arabica,Natural / Dry,8.08,0.84175
United States (Hawaii),Arabica,Natural / Dry,7.92,0.8310000000000001
Colombia,Arabica,Natural / Dry,8.08,0.8414999999999999
United States (Hawaii),Arabica,,8.17,0.8414999999999999
Ethiopia,Arabica,,7.83,0.8397500000000001
United States (Hawaii),Arabica,,7.92,0.8335000000000001
Uganda,Arabica,Washed / Wet,8.0,0.844
Colombia,Arabica,Washed / Wet,7.83,0.84175
Costa Rica,Arabica,Washed / Wet,7.92,0.84375
Mexico,Arabica,Washed / Wet,8.08,0.8375
Kenya,Arabica,Washed / Wet,7.83,0.84175
Kenya,Arabica,Washed / Wet,7.83,0.8394999999999999
Brazil,Arabica,Natural / Dry,8.0,0.84175
Mexico,Arabica,,7.83,0.83775
United States (Hawaii),Arabica,,7.83,0.84175
Guatemala,Arabica,,8.0,0.8414999999999999
Colombia,Arabica,Washed / Wet,7.83,0.844
Colombia,Arabica,Washed / Wet,7.83,0.8375
Taiwan,Arabica,Semi-washed / Semi-pulped,7.92,0.8375
"Tanzania, United Republic Of",Arabica,Washed / Wet,7.83,0.8394999999999999
Colombia,Arabica,Washed / Wet,7.92,0.8355
Mexico,Arabica,Semi-washed / Semi-pulped,8.17,0.83125
Brazil,Arabica,Natural / Dry,7.75,0.8480000000000001
Brazil,Arabica,Natural / Dry,7.92,0.8375
Kenya,Arabica,,7.58,0.8397500000000001
Taiwan,Arabica,Natural / Dry,8.0,0.8332499999999999
Uganda,Arabica,Natural / Dry,7.83,0.8480000000000001
United States (Hawaii),Arabica,Natural / Dry,8.08,0.83125
Ethiopia,Arabica,,8.0,0.8355
Ethiopia,Arabica,,7.92,0.82925
Thailand,Arabica,Pulped natural / honey,8.0,0.8375
Kenya,Arabica,Washed / Wet,7.92,0.8375
Honduras,Arabica,Washed / Wet,8.17,0.83125
El Salvador,Arabica,,7.75,0.8355
Nicaragua,Arabica,,8.5,0.829
El Salvador,Arabica,Washed / Wet,8.0,0.83725
Indonesia,Arabica,Washed / Wet,7.92,0.8375
Japan,Arabica,Pulped natural / honey,8.08,0.8394999999999999
Costa Rica,Arabica,Washed / Wet,7.92,0.8332499999999999
Guatemala,Arabica,Washed / Wet,7.83,0.8375
Costa Rica,Arabica,Washed / Wet,7.92,0.85
Ethiopia,Arabica,Washed / Wet,7.92,0.83725
Costa Rica,Arabica,Other,7.67,0.8230000000000001
Costa Rica,Arabica,Washed / Wet,8.0,0.8332499999999999
Costa Rica,Arabica,Washed / Wet,7.92,0.84575
Taiwan,Arabica,Washed / Wet,7.75,0.84175
Colombia,Arabica,Washed / Wet,7.92,0.8332499999999999
Kenya,Arabica,Washed / Wet,7.83,0.83125
Guatemala,Arabica,Washed / Wet,7.67,0.8375
Guatemala,Arabica,Washed / Wet,8.0,0.82925
Mexico,Arabica,Washed / Wet,7.92,0.8332499999999999
Uganda,Arabica,Washed / Wet,7.83,0.8355
Peru,Arabica,,7.92,0.8355
Ethiopia,Arabica,,7.83,0.82925
Kenya,Arabica,Washed / Wet,7.83,0.83125
Colombia,Arabica,Washed / Wet,8.08,0.82925
Colombia,Arabica,Washed / Wet,7.75,0.8394999999999999
Kenya,Arabica,Washed / Wet,7.92,0.8310000000000001
Guatemala,Arabica,Washed / Wet,7.83,0.8332499999999999
Guatemala,Arabica,Washed / Wet,8.17,0.8375
Colombia,Arabica,Washed / Wet,7.83,0.8230000000000001
Colombia,Arabica,Washed / Wet,7.92,0.827
Kenya,Arabica,Washed / Wet,7.75,0.83125
Colombia,Arabica,Washed / Wet,7.75,0.827
Costa Rica,Arabica,Semi-washed / Semi-pulped,7.75,0.8352499999999999
Colombia,Arabica,Washed / Wet,8.08,0.82925
Brazil,Arabica,Semi-washed / Semi-pulped,7.75,0.8394999999999999
Brazil,Arabica,Semi-washed / Semi-pulped,7.5,0.85
Costa Rica,Arabica,Washed / Wet,8.0,0.8314999999999999
Uganda,Arabica,Washed / Wet,7.83,0.8375
China,Arabica,Washed / Wet,7.92,0.8355
Costa Rica,Arabica,Washed / Wet,7.92,0.8332499999999999
Colombia,Arabica,Washed / Wet,7.75,0.8355
China,Arabica,Washed / Wet,7.92,0.8355
Guatemala,Arabica,Washed / Wet,7.5,0.84175
Kenya,Arabica,Washed / Wet,7.67,0.8355
Mexico,Arabica,Washed / Wet,7.92,0.8355
Mexico,Arabica,Washed / Wet,7.67,0.8375
Guatemala,Arabica,Washed / Wet,7.83,0.82925
Brazil,Arabica,,8.13,0.8125
Brazil,Arabica,,7.75,0.83775
Costa Rica,Arabica,Washed / Wet,7.92,0.827
Indonesia,Arabica,Other,8.0,0.82925
Colombia,Arabica,Natural / Dry,7.67,0.84175
Colombia,Arabica,Washed / Wet,7.75,0.8335000000000001
Taiwan,Arabica,Washed / Wet,7.75,0.829
United States (Hawaii),Arabica,Natural / Dry,7.83,0.8335000000000001
Mexico,Arabica,Washed / Wet,7.83,0.8375
Ethiopia,Arabica,,7.75,0.82925
Kenya,Arabica,Washed / Wet,8.17,0.8164999999999999
Honduras,Arabica,,7.58,0.8397500000000001
