species,country_of_origin,number_of_bags,bag_weight,total_weight,processing,aroma,flavor,body,uniformity,cupper_points,yum_score
Arabica,Ethiopia,300,60.0,18000.0,Washed,8.67,8.83,8.5,10.0,9.0,0.99
Arabica,Ethiopia,300,60.0,18000.0,Washed,8.75,8.67,8.42,10.0,8.96,0.98
Arabica,Ethiopia,320,60.0,19200.0,Natural,8.17,8.58,8.5,10.0,8.81,0.94
Arabica,Ethiopia,300,60.0,18000.0,Washed,8.25,8.5,8.42,10.0,8.79,0.93
Arabica,Brazil,100,30.0,3000.0,Natural,8.58,8.42,8.25,10.0,8.81,0.92
Arabica,Peru,100,69.0,6900.0,Washed,8.42,8.5,8.25,10.0,8.79,0.92
Arabica,Ethiopia,50,60.0,3000.0,Natural,8.08,8.58,7.67,10.0,8.58,0.84
Arabica,Ethiopia,300,60.0,18000.0,Natural,8.17,8.67,7.75,10.0,8.65,0.86
Arabica,United States,10,1.0,10.0,Washed,8.25,8.42,8.08,10.0,8.69,0.88
Arabica,United States,10,1.0,10.0,Washed,8.08,8.67,8.0,10.0,8.69,0.88
Arabica,United States,10,1.0,10.0,Washed,8.0,8.5,8.17,10.0,8.67,0.88
Arabica,China,3,60.0,180.0,Washed,8.42,8.25,7.92,10.0,8.65,0.86
Arabica,Ethiopia,250,60.0,15000.0,Natural,8.17,8.17,8.08,10.0,8.61,0.85
Arabica,United States,10,1.0,10.0,Washed,8.0,8.25,8.25,10.0,8.62,0.87
Arabica,Costa Rica,250,1.360776,340.194,Washed,8.08,8.25,8.0,10.0,8.58,0.84
Arabica,Mexico,14,1.0,14.0,Washed,8.17,8.25,7.83,10.0,8.56,0.83
Arabica,United States,10,1.0,10.0,Washed,8.25,8.33,7.83,10.0,8.6,0.84
Arabica,Ethiopia,100,60.0,6000.0,Natural,8.42,8.17,8.33,10.0,8.73,0.9
Arabica,Brazil,3,60.0,180.0,Natural,8.5,8.5,8.0,10.0,8.75,0.9
Arabica,Uganda,100,60.0,6000.0,Washed,8.42,8.17,7.83,10.0,8.61,0.84
Arabica,Taiwan,20,50.0,1000.0,Pulped-Natural,8.0,8.0,8.0,10.0,8.5,0.82
