species,owner,country_of_origin,farm_name,lot_number,mill,company,altitude,region,producer,number_of_bags,bag_weight,in_country_partner,harvest_year,grading_date,owner_1,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,moisture
Arabica,metad plc,Ethiopia,metad plc,NA,metad plc,metad agricultural developmet plc,1950-2200,guji-hambela,METAD PLC,300,60 kg,METAD Agricultural Development plc,2014,"April 4th, 2015",metad plc,NA,Washed / Wet,8.67,8.83,8.67,8.75,8.5,8.42,10,10,10,8.75,0.12
Arabica,metad plc,Ethiopia,metad plc,NA,metad plc,metad agricultural developmet plc,1950-2200,guji-hambela,METAD PLC,300,60 kg,METAD Agricultural Development plc,2014,"April 4th, 2015",metad plc,Other,Washed / Wet,8.75,8.67,8.5,8.58,8.42,8.42,10,10,10,8.58,0.12
Arabica,grounds for health admin,Guatemala,"san marcos barrancas ""san cristobal cuch",NA,NA,NA,1600 - 1800 m,NA,NA,5,1,Specialty Coffee Association,NA,"May 31st, 2010",Grounds for Health Admin,Bourbon,NA,8.42,8.5,8.42,8.42,8.33,8.42,10,10,10,9.25,0
Arabica,yidnekachew dabessa,Ethiopia,yidnekachew dabessa coffee plantation,NA,wolensu,yidnekachew debessa coffee plantation,1800-2200,oromia,Yidnekachew Dabessa Coffee Plantation,320,60 kg,METAD Agricultural Development plc,2014,"March 26th, 2015",Yidnekachew Dabessa,NA,Natural / Dry,8.17,8.58,8.42,8.42,8.5,8.25,10,10,10,8.67,0.11
Arabica,metad plc,Ethiopia,metad plc,NA,metad plc,metad agricultural developmet plc,1950-2200,guji-hambela,METAD PLC,300,60 kg,METAD Agricultural Development plc,2014,"April 4th, 2015",metad plc,Other,Washed / Wet,8.25,8.5,8.25,8.5,8.42,8.33,10,10,10,8.58,0.12
Arabica,ji-ae ahn,Brazil,NA,NA,NA,NA,NA,NA,NA,100,30 kg,Specialty Coffee Institute of Asia,2013,"September 3rd, 2013",Ji-Ae Ahn,NA,Natural / Dry,8.58,8.42,8.42,8.5,8.25,8.33,10,10,10,8.33,0.11
Arabica,hugo valdivia,Peru,NA,NA,hvc,richmond investment-coffee department,NA,NA,HVC,100,69 kg,Specialty Coffee Institute of Asia,2012,"September 17th, 2012",Hugo Valdivia,Other,Washed / Wet,8.42,8.5,8.33,8.5,8.25,8.25,10,10,10,8.5,0.11
Arabica,ethiopia commodity exchange,Ethiopia,aolme,NA,c.p.w.e,NA,1570-1700,oromia,Bazen Agricultural & Industrial Dev't Plc,300,60 kg,Ethiopia Commodity Exchange,March 2010,"September 2nd, 2010",Ethiopia Commodity Exchange,NA,NA,8.25,8.33,8.5,8.42,8.33,8.5,10,10,9.33,9,0.03
Arabica,ethiopia commodity exchange,Ethiopia,aolme,NA,c.p.w.e,NA,1570-1700,oromiya,Bazen Agricultural & Industrial Dev't Plc,300,60 kg,Ethiopia Commodity Exchange,March 2010,"September 2nd, 2010",Ethiopia Commodity Exchange,NA,NA,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10,9.33,8.67,0.03
Arabica,diamond enterprise plc,Ethiopia,tulla coffee farm,NA,tulla coffee farm,diamond enterprise plc,1795-1850,"snnp/kaffa zone,gimbowereda",Diamond Enterprise Plc,50,60 kg,METAD Agricultural Development plc,2014,"March 30th, 2015",Diamond Enterprise Plc,Other,Natural / Dry,8.08,8.58,8.5,8.5,7.67,8.42,10,10,10,8.5,0.1
Arabica,mohammed lalo,Ethiopia,fahem coffee plantation,NA,NA,fahem coffee plantation,1855-1955,oromia,Fahem Coffee Plantation,300,60 kg,METAD Agricultural Development plc,2014,"March 27th, 2015",Mohammed Lalo,NA,Natural / Dry,8.17,8.67,8.25,8.5,7.75,8.17,10,10,10,8.58,0.1
Arabica,cqi q coffee sample representative,United States,el filo,NA,NA,coffee quality institute,meters above sea level: 1.872,antioquia,Alfredo De Jesús López Pérez,10,1 kg,Almacafé,2014,"March 13th, 2015",CQI Q Coffee Sample Representative,Other,Washed / Wet,8.25,8.42,8.17,8.33,8.08,8.17,10,10,10,8.5,0
Arabica,cqi q coffee sample representative,United States,los cedros,NA,NA,coffee quality institute,meters above sea level: 1.943,antioquia,Jorge Walter Restrepo,10,1 kg,Almacafé,2014,"March 13th, 2015",CQI Q Coffee Sample Representative,Other,Washed / Wet,8.08,8.67,8.33,8.42,8,8.08,10,10,10,8.33,0
Arabica,grounds for health admin,United States (Hawaii),arianna farms,NA,NA,NA,2000 ft,kona,"Robert, Sharon, Arianna Wood",1,1,Specialty Coffee Association,Sept 2009 - April 2010,"May 31st, 2010",Grounds for Health Admin,NA,NA,8.33,8.42,8.08,8.25,8.25,8,10,10,10,8.58,0
Arabica,ethiopia commodity exchange,Ethiopia,aolme,NA,c.p.w.e,NA,1570-1700,oromiya,Bazen Agricultural & Industrial Dev't Plc,300,60 kg,Ethiopia Commodity Exchange,March 2010,"August 31st, 2010",Ethiopia Commodity Exchange,NA,NA,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10,9.33,8.5,0.05
Arabica,cqi q coffee sample representative,United States,el águila,NA,NA,coffee quality institute,meters above sea level: 2.080,antioquia,María Leticia Diosa,10,1 kg,Almacafé,2014,"March 13th, 2015",CQI Q Coffee Sample Representative,Other,Washed / Wet,8,8.5,8.58,8.17,8.17,8,10,10,10,8.17,0
Arabica,grounds for health admin,Indonesia,toarco jaya,NA,NA,NA,1200-1800m,sulawesi,P.T. Toarco Jaya,1,"2 kg,lbs",Specialty Coffee Association,May-August,"May 31st, 2010",Grounds for Health Admin,NA,NA,8.33,8.25,7.83,7.75,8.5,8.42,10,10,10,8.33,0.03
Arabica,ethiopia commodity exchange,Ethiopia,NA,NA,NA,NA,NA,yirgacheffe,Green Gold Ethiopia | Phone: 0114342032,150,6,Ethiopia Commodity Exchange,2009/2010,"June 16th, 2010",Ethiopia Commodity Exchange,NA,NA,8.17,8.33,8.25,8.33,8.42,8.33,9.33,10,9.33,8.83,0.05
Arabica,yunnan coffee exchange,China,echo coffee,YNC-06114,echo coffee mill,yunnan coffee exchange,1450,yunnan,Echo Coffee,3,60 kg,Yunnan Coffee Exchange,2015,"April 7th, 2016",Yunnan Coffee Exchange,Catimor,Washed / Wet,8.42,8.25,8.08,8.17,7.92,8,10,10,10,8.42,0.1
Arabica,essencecoffee,Ethiopia,drima zede,NA,drima zede,essence coffee,1700-2000m,gedio,LevelUp,250,60 kg,Blossom Valley International,2014,"March 25th, 2015",EssenceCoffee,Ethiopian Yirgacheffe,Natural / Dry,8.17,8.17,8,8.17,8.08,8.33,10,10,10,8.33,0
Arabica,cqi q coffee sample representative,United States,el rodeo,NA,NA,coffee quality institute,meters above sea level: 2.019,antioquia,Nicolás Rueda Urrego,10,1 kg,Almacafé,2014,"March 13th, 2015",CQI Q Coffee Sample Representative,Other,Washed / Wet,8,8.25,8.08,8.5,8.25,8,10,10,10,8.17,0
Arabica,the coffee source inc.,Costa Rica,several,NA,cafe altura de san ramon,the coffee source inc.,1300 msnm,san ramon,SEVERAL,250,3 lbs,Specialty Coffee Association,2014,"April 2nd, 2014",The Coffee Source Inc.,Caturra,Washed / Wet,8.08,8.25,8,8.17,8,8.33,10,10,10,8.33,0.11
Arabica,roberto licona franco,Mexico,la herradura,NA,la herradura,NA,1320,xalapa,ROBERTO LICONA FRANCO,14,1 kg,AMECAFE,2012,"July 26th, 2012",ROBERTO LICONA FRANCO,Other,Washed / Wet,8.17,8.25,8.17,8,7.83,8.17,10,10,10,8.58,0.13
Arabica,cqi q coffee sample representative,United States,la curva,NA,NA,coffee quality institute,meters above sea level: 2.112,antioquia,Silvia Elena Higuita,10,1 kg,Almacafé,2014,"March 13th, 2015",CQI Q Coffee Sample Representative,Other,Washed / Wet,8.25,8.33,8.17,8.17,7.83,8.17,10,10,10,8.17,0
Arabica,ji-ae ahn,Ethiopia,NA,NA,NA,NA,NA,sidamo,NA,100,60 kg,Specialty Coffee Institute of Asia,2013,"September 3rd, 2013",Ji-Ae Ahn,NA,Natural / Dry,8.42,8.17,7.92,8.17,8.33,8,10,10,10,8.08,0.11
Arabica,nucoffee,Brazil,fazenda kaquend,NA,NA,nucoffee,1250m,south of minas,Ralph Junqueira,3,60 kg,NUCOFFEE,2011,"December 3rd, 2011",NUCOFFEE,Bourbon,Natural / Dry,8.5,8.5,8,8,8,8,10,10,10,7.92,0.12
Arabica,ethiopia commodity exchange,Ethiopia,NA,NA,NA,NA,NA,sidamo,Green Gold Ethiopia | Phone: 0114342032,150,6,Ethiopia Commodity Exchange,2009/2010,"June 16th, 2010",Ethiopia Commodity Exchange,NA,NA,7.83,8.25,8.08,8.17,8.17,8.17,10,10,10,8.25,0.05
Arabica,kabum trading company,Uganda,chebonet (23) women coffee,NA,kabum trading company,kabum trading company,1950,kapchorwa eastern,Kabum trading company,100,60 kg,Uganda Coffee Development Authority,2013,"June 26th, 2014",Kabum Trading company,SL14,Washed / Wet,8.42,8.17,8.17,8.17,7.83,7.92,10,10,10,8.17,0.12
